timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619513729752,267,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,5,0,0
1619513729804,326,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,3,0,0
1619513729988,337,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513730021,343,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,8,0,0
1619513730020,378,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513730130,339,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,6,0,0
1619513730248,408,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,60,0,51
1619513730326,350,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513730364,365,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513730398,395,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513730470,385,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513730658,396,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,10,0,0
1619513730677,409,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,12,0,0
1619513730730,383,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,10,0,0
1619513730794,392,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,7,0,0
1619513730856,400,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513731054,377,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,7,0,0
1619513731086,383,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,13,0,0
1619513731114,383,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513731187,388,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,7,0,0
1619513731257,348,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,6,0,0
1619513731432,368,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,7,0,0
1619513731470,355,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,7,0,0
1619513731498,335,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513731576,355,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513731605,348,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513731800,347,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513731825,340,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513731833,341,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513731953,289,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513731932,340,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513732148,339,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513732174,358,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,8,0,0
1619513732166,367,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,6,0,0
1619513732243,337,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513732273,351,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,6,0,0
1619513732488,341,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513732533,341,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513732532,362,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,5,0,0
1619513732581,345,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513732625,361,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513732830,318,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513732875,329,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,3,0,0
1619513732895,367,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513732927,342,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513732986,376,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,4,0,0
1619513733149,354,GetFileStream,200,OK,Scenario 1 1-5,text,true,,1231549,360,5,5,https://localhost:5001/file/getfilestream,6,0,0
